TIMESTAMP_LessOne,Qry_AllertonBywater_Daily.RAIN_mm_TOT,Qry_Middleton_Daily.RAIN_mm_TOT,Qry_Otley_Daily.RAIN_mm_TOT,Qry_Shadwell_Daily.RAIN_mm_TOT,Qry_PotteryField_Daily.RAIN_mm_TOT
01-Jun-14,0,0,0,0,0
02-Jun-14,11.59999,9.599996,8.599997,7.399997,9.999995
03-Jun-14,3.200001,1,0.6,1.6,0.4
04-Jun-14,13.59999,8.399997,7.999997,11.99999,10.39999
05-Jun-14,1,0.8,1.4,1.6,0.2
06-Jun-14,0,0,0,0,0
07-Jun-14,8.599997,11.99999,10.39999,9.399996,11.19999
08-Jun-14,0.6,0.2,4.2,0.2,0
09-Jun-14,9.599996,6.599998,7.999997,7.599997,5.799999
10-Jun-14,2.8,1.2,0.8,5.799999,1.8
11-Jun-14,0,0,0,0.2,0
12-Jun-14,0,0,0,0,0
13-Jun-14,1.6,4,1.8,0,0.6
14-Jun-14,0.6,0.6,0,0.4,0.4
15-Jun-14,0,3.200001,3.600001,0.6,2.6
16-Jun-14,0,0.2,0,0,0
17-Jun-14,0,0,0,0,0
18-Jun-14,0,0,0,0,0
19-Jun-14,0,0,0,0,0
20-Jun-14,0,0,0,0,0
21-Jun-14,0,0,0,0,0
22-Jun-14,0,0,0,0,0
23-Jun-14,0.4,0,0,0,0
24-Jun-14,0,0,1,0.4,0
25-Jun-14,0,0,0,0,0
26-Jun-14,0,0,0,0,0
27-Jun-14,5.599999,9.599996,2.4,0.4,5.799999
28-Jun-14,5.799999,2,0.2,0.4,0.8
29-Jun-14,0.4,0.4,0,0.2,0.4
30-Jun-14,0,0,0,0,0
